Log file open, 05/30/15 12:56:12
LogInit:Display: Running engine for game: GodKiller
LogInit: Version: 4.7.3-2479750+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar 15 2015 23:20:45
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line: 
LogInit: Base directory: F:/ue4/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.05.30-19.56.12:285][  0]LogTaskGraph: Started task graph with 3 named threads and 6 total threads.
[2015.05.30-19.56.12:335][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.05.30-19.56.12:346][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.05.30-19.56.12:354][  0]LogInit: Object subsystem initialized
[2015.05.30-19.56.12:356][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'TranslucentSortAxis = (X=0.000000,Y=-1.000000,Z=0.000000)'
[2015.05.30-19.56.12:356][  0]LogConsoleResponse:Warning:   Found in ini file 'F:/AI/GodKiller/God-Killer/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.05.30-19.56.12:356][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleRule = ShortestSide'
[2015.05.30-19.56.12:356][  0]LogConsoleResponse:Warning:   Found in ini file 'F:/AI/GodKiller/God-Killer/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.05.30-19.56.12:356][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleCurve = (EditorCurveData=(Keys=),ExternalCurve=None)'
[2015.05.30-19.56.12:356][  0]LogConsoleResponse:Warning:   Found in ini file 'F:/AI/GodKiller/God-Killer/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.05.30-19.56.12:356][  0]LogInit: Selected Device Profile: [Windows]
[2015.05.30-19.56.12:356][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.05.30-19.56.12:370][  0]LogInit: Computer: BELOTH
[2015.05.30-19.56.12:370][  0]LogInit: User: Welsper427
[2015.05.30-19.56.12:370][  0]LogInit: CPU Page size=4096, Cores=4
[2015.05.30-19.56.12:370][  0]LogInit: High frequency timer resolution =2.435839 MHz
[2015.05.30-19.56.12:371][  0]LogMemory: Memory total: Physical=16.0GB (16GB approx) Virtual=8192.0GB
[2015.05.30-19.56.12:371][  0]LogMemory: Platform Memory Stats for Windows
[2015.05.30-19.56.12:371][  0]LogMemory: Process Physical Memory: 48.43 MB used, 48.43 MB peak
[2015.05.30-19.56.12:371][  0]LogMemory: Process Virtual Memory: 26.39 MB used, 26.39 MB peak
[2015.05.30-19.56.12:371][  0]LogMemory: Physical Memory: 4017.82 MB used, 16333.11 MB total
[2015.05.30-19.56.12:371][  0]LogMemory: Virtual Memory: 282.92 MB used, 8388608.00 MB total
[2015.05.30-19.56.12:395][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GTX 970M (Feature Level 11_0)
[2015.05.30-19.56.12:395][  0]LogD3D11RHI: Adapter has 2950MB of dedicated video memory, 0MB of dedicated system memory, and 7910MB of shared system memory, 1 output[s]
[2015.05.30-19.56.12:395][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.05.30-19.56.12:399][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2015.05.30-19.56.12:406][  0]LogD3D11RHI: Async texture creation enabled
[2015.05.30-19.56.12:459][  0]LogTextLocalizationManager: The requested culture ('en_US') has no localization data; parent culture's ('en') localization data will be used.
[2015.05.30-19.56.12:508][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:UICommands, Key:Save_ToolTip):
Resource: (F:/ue4/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (-29098895) String: (Saves the current level to disk)
Resource: (F:/ue4/4.7/Engine/Content/Localization/Engine/en/Engine.locres) Hash: (-1280300587) String: (Save selected data to vlog file)
[2015.05.30-19.56.12:508][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:ContentBrowser, Key:ImportAssetToolTip):
Resource: (F:/ue4/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (-630476809) String: (Import to {0}...)
Resource: (F:/ue4/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (1271782899) String: (Imports an asset from file to this folder.)
[2015.05.30-19.56.12:578][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.05.30-19.56.14:582][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.30-19.56.15:039][  0]LogTargetPlatformManager:Display: Building Assets For Windows
